企业id,企业名称,统一社会信用代码,注册资本,category_id,keywords
119,中国对外贸易中心集团有限公司,91440000190346511F,"1,780,000万(元)",53,企业经营|中国对外贸易中心|文化艺术活动|会展服务|互联网服务|广告服务|文化艺术品制造|物业出租|国际贸易|咨询服务
120,中国平安财产保险股份有限公司,914403007109307208,"2,100,000万(元)",53,科技中心|AI技术|计算机视觉|平安产险
121,中国广州金墩总公司,9144010119134581XR,"2,022万(元)",91,汽车生产|五金件|容器|消防设备|金属加工
122,中国建设科技有限公司,9111000071092868XL,"600,000万(元)",83,中国建|中央企业|改制|国际建筑市场
123,中国核电工程有限公司,911100001000027329,"200,000万(元)",64,核能|技术研发|工业大奖|核电
124,中国牧工商集团有限公司,911100001000009212,"116,205.1636万(元)",108,饲料原料|肉类加工|动物防疫|健康养殖
125,中国电器科学研究院股份有限公司,91440101100006899U,"40,450万(元)",67,高新技术企业|工业设计协会|中国电器科学研究院|中国科学院|科技创新
126,中国电子产品可靠性与环境试验研究所（工业和信息化部电子第五研究所）（中国赛宝实验室）,121000004558608245,"9,645万(元)",87,
127,中国电子有限公司,91440300MA5DQ1XB29,"3,428,955.6704万(元)",20,房地产|装饰材料|电子仪表|技术服务|建筑|电子产品|建筑材料|服装|咨询|诚信经营
128,中国电建集团中南勘测设计研究院有限公司,91430000444885356Q,"135,000万(元)",83,
129,中国电建集团北京勘测设计研究院有限公司,91110000101115237J,"80,000万(元)",79,文物保护|市政|水电|水利|新能源|环境|路桥
130,中国电建集团华东勘测设计研究院有限公司,91330000142920718C,"234,263.2376万(元)",53,华东院|项目管理|数字化|国际化|工程建设
131,中国石化湛江东兴石油化工有限公司,914408006177970999,"439,664.16万(元)",89,
132,中国石油化工股份有限公司,91110000710926094P,"12,107,120.9646万(元)",89,股份制|政治优势|中国石化
133,中国石油化工股份有限公司广州分公司,91440101721928327M,,89,仪表|危险品|IT咨询|炼油|停车|塑料|清洁能源|电力|汽车|化工
134,中国石油化工股份有限公司茂名分公司,91440900722484553D,,89,石油化工|炼化企业|原油|生产装置
135,中国石油天然气股份有限公司,91110000710925462X,"18,302,097万(元)",53,净利润|国有企业|销售收入|净资产收益率|最大油气生产企业|营业收入|基本每股收益|July 31
136,中国石油天然气股份有限公司广东石化分公司,91445200699715295P,,89,物业出租|油气|危化品运输|化工
137,中国石油集团科学技术研究院有限公司,91110108400009805J,"7,959.9万(元)",53,印刷品广告|技术创新|对外投资|石油勘探&开发
138,中国联合网络通信有限公司,91110000710939135P,"21,304,479.7828万(元)",28,基础电信业务|增值电信业务|软件开发|设备生产|系统集成
139,中国能源建设集团广东省电力设计研究院有限公司,91440000455857967J,"105,330万(元)",66,总承包|先进|工程设计|国际
140,中国银行股份有限公司,911000001000013428,"29,438,779.1241万(元)",53,国有银行|中国银行|中央金融企业|中国人民银行
141,中国长城科技集团股份有限公司,91440300279351261M,"322,579.9087万(元)",22,中国电子|技术研发|知识产权|自主计算
142,中国长江电力股份有限公司,91110000710930405L,"2,274,185.923万(元)",53,配售电|水力发电|国际业务|清洁能源|投资业务
143,中安天鹏智能科技（深圳）有限公司,91440300342805087U,"10,000万(元)",53,节能环保|半导体开发|大数据管理|摄影器材|智能科技
144,中山万汉制药有限公司,914420000778630588,"1,847.1429万(元)",45,一次性口罩|化妆品|中药材生产|医疗器械|化工原料
145,中山中研化妆品有限公司,91442000576488838F,"2,000万(元)",48,化妆品|护肤品|美容修饰|医疗器械|消毒产品
146,中山公用事业集团股份有限公司,914420001935372689,"147,511.1351万(元)",80,商业地产|股权投资|水务|环保
147,中山公用城市排水有限公司,91442000MAC398YB9X,"100,000万(元)",80,市政设施|防洪除涝|水处理|环保
148,中山公用工程有限公司,91442000282121432L,"50,000万(元)",83,供水|园林绿化|工程建设|环境监测|市政设施
149,中山公用水务投资有限公司,91442000198075234C,"58,871.73万(元)",132,水资源|机械设备|环保监测|投资|网络服务
150,中山大洋电机股份有限公司,914420007251062242,"238,189.0216万(元)",20,微特电机|出口|认证|新能源汽车
151,中山大简科技有限公司,914420003247671440,500万(元),53,3D打印设备|计算机软件|计算机系统|计算机设备维护|打印材料|模具模型
152,中山市乐邦生活电器有限公司,9144200079120085XH,"1,000万(元)",99,燃气器具生产|家居用品销售|塑料制品制造|电子元器件制造|家用电器|五金产品批发|金属制日用品制造|有色金属压延加工|家用电器研发|非电力家用器具销售
153,中山市交通发展集团有限公司,91442000663372163C,"291,718.7万(元)",77,交通基础设施建设|物业管理|土地征用|房地产开发|咨询服务
154,中山市华塑塑胶科技有限公司,91442000684436541M,"2,100万(元)",53,改性塑料|环保材料|生物材料|纳米材料|国际贸易
155,中山市卡邦碳纤维材料制品有限公司,91442000303925238E,"1,000万(元)",62,塑胶|卡邦|碳纤维|模具
156,中山市民众镇创业洗染有限公司,91442000666465285D,110万(元),53,布|纺织|印染|服装|花边
157,中山市江波龙电子有限公司,91442000MA4UHRYB4K,"85,000万(元)",20,计算机|通信设备|电子产品|周边设备|音响播放者
158,中山市海粤汽车工业有限公司,914420007291948824,"6,000万(元)",71,机械设备|零配件|轻量化|汽车|五金配件
159,中山市爱思特电器有限公司,91442000778312603G,200万(元),99,
160,中山市盈轩房地产开发有限公司,91442000086777653Q,"1,040.9438万(元)",83,经营活动|审批|投资项目|实业|房地产开发|房地产
161,中山市睿思生物技术有限公司,91442000MA4W44524J,300万(元),44,
162,中山市美扬电器有限公司,9144200073617234XQ,300万(元),99,塑料制品|日用品|家用电器|五金产品|模具
163,中山市美斯特实业有限公司,914420007962295390,"1,000万(元)",53,家电产品|燃气炉具|塑料五金|电器配件|进出口业务|厨房设备|电机|电风扇|排气扇|电子控制板
164,中山市西江水产研究养殖有限公司,914420005536186959,"2,000万(元)",108,养殖|研究|水产|采购|农产品
165,中山市铨友塑料有限公司,91442000MA4W60DT6H,144.44万(美元),53,
166,中山市阿帕其电器有限公司,91442000719394709Y,200万(元),99,家庭用品|半导体|电子产品|灯具
167,中山布瑞特环保油墨有限公司,91442000MA51TYL44G,580万(元),53,印刷用助剂|紫外线固化油墨|印刷|水性油墨
168,中山投资控股集团有限公司,91442000666459520X,"276,930.2944万(元)",132,国有企业|国有资本投资运营|国有资本运营|政府引导基金|国有资本投资
169,中山数码模汽车技术有限公司,9144200079123286X8,"18,839.5067万(元)",57,零配件技术安装服务|精密型腔模|汽车|精冲模|技术开发服务
170,中山昱普生物科技开发有限公司,91442000MA4WQPT756,"1,500万(元)",44,化妆品|医疗器械生产|药品研发|生物技术研发
171,中山粤海能源有限公司,91442000617986252G,"111,468.89万(元)",66,蒸汽|电力|干煤灰|货物装卸|发电|码头
172,中山绿威科技有限公司,91442000MA4W84Y04D,"1,000万(元)",22,集成电路|芯片设计|设计|销售|制造
173,中山联成化学工业有限公司,9144200061798736X2,"10,808万(美元)",90,甲苯|聚氯乙烯|环氧乙烷|聚乙烯等|丙二醇
174,中广核工程有限公司,91440300100028086X,"328,600万(元)",64,核电技术|自主创新|核心技术|核电|三大核电技术
175,中广核核电运营有限公司,91440300052768628C,"15,000万(元)",64,技术开发|技术服务|电力|核电|投资
176,中广核研究院有限公司,914403007954242367,"233,555万(元)",64,国家级企业技术中心|推动关键核心技术|专业技术服务|集团科技研发|总部设在深圳|聚焦未来先进生产力
177,中广核风电有限公司,91110000717827080A,"3,455,743.4596万(元)",66,项目建设|可再生能源|运营管理|中广核风电|战略方针
178,中建一局集团建设发展有限公司,91110000101715726A,"138,178.58万(元)",83,国有大型企业|大客户|建筑业|中国建筑|一级资质
179,中建四局安装工程有限公司,91520000214424968P,"177,148.59万(元)",55,机械安装|钢结构|化工设备|基础设施建设|水电安装
180,中建地下空间有限公司,91510100077692260D,"40,000万(元)",83,地形测量|建筑工程|文物保护|物流配送|劳务服务|建筑设计|岩土工程|软件开发|建筑施工|房地产开发
181,中建材资源有限公司,91440300571953614Y,"14,000万(元)",85,供应链管理|投资兴办|进出口业务|跨境电商|中建材资源
182,中建科工集团有限公司,914403006803525199,"270,000万(元)",83,超高层|装备|工程|钢结构
183,中星(广州)纳米材料有限公司,91440101MA5CTUYY1C,"2,000万(元)",62,纳米材料|中星|研究
184,中氢新能技术有限公司,91110107MA004MXB9E,"5,000万(元)",66,企业管理|对外贸易|设备出租|技术咨询|技术支持|产品销售|新能源技术开发
185,中水珠江规划勘测设计有限公司,91440000190379460Q,"10,100万(元)",80,水资源|水利水电|城市建设|工程技术|新能源
186,中汽研汽车检验中心（广州）有限公司,91440101MA59FGMD6T,"80,000万(元)",71,检测|认证|设计|信息技术咨询|汽车|软件开发|节能减排|运输
187,中海壳牌石油化工有限公司,914413007109397255,"2,420,000万(元)",89,服务|石油化工|基础化工原料|社会责任|企业|中海壳牌|经济增长|节能减排|社会进步|产品质量
188,中海油信息科技有限公司,9144030055213922X0,"5,000万(元)",28,中海油|程控电话通讯网|通讯网络|卫星通讯网|短波通讯网
189,中海油珠海天然气发电有限公司,91440400584728352D,"72,970.5万(元)",66,能源项目|热网建设|电力|电力项目|热力生产
190,中海石油揭阳能源开发利用有限公司,914452006665478032,"5,000万(元)",66,Gas Pipe|Tanker
191,中海石油炼化有限责任公司惠州炼化分公司,91441300782966861Y,,89,石油化工|技术开发|销售|中海石油|炼制
192,中海石油（中国）有限公司湛江分公司,91440800707913938N,,53,
193,中海石油（惠州）物流有限公司,914413007946476221,"62,021.73万(元)",78,机械设备|石油|办公用品|化工|物流
194,中海福陆重工有限公司,91440400MA4ULBA182,"99,960万(美元)",74,总装基地|深海风电场|采矿和冶金项目|浮式产品制造|深水海洋工程
195,中煤科工机器人科技有限公司,91440300MA5H61Y463,"5,000万(元)",58,特殊作业机器人|电子|工业机器人|服务消费机器人|智能化
196,中电建十四局城市建设投资有限公司,91440101MA5D07PX6U,"10,000万(元)",132,绿化|建设|监理|市政|科技|中电建|服务|路桥|保护|能源
197,中电科海洋信息技术研究院有限公司,91469034075725559F,"88,600万(元)",74,海洋信息|信息系统|测试|销售|软件开发
198,中电长城圣非凡信息系统有限公司,91110106700215694J,"23,500万(元)",22,通信|自主安全|机电一体化|信息系统
199,中盟环境建设有限公司,91440101MA5CK3LF0D,"10,000万(元)",86,林业|娱乐|机械设备|交通运输|建筑工程|媒体|网络|新能源|医疗|化工
200,中科星图空间技术有限公司,91610138MA6TYWRRXN,"11,000万(元)",37,卫星遥感|信息咨询|大数据服务|云计算|软件开发
201,中科星图维天信（北京）科技有限公司,91110108799043123N,"1,980万(元)",53,生产仪器仪表|技术开发|技术咨询|技术支持|计算机系统服务|产品销售|软件开发|机械设备生产
202,中科检测技术服务（广州）股份有限公司,91440106572186971P,"3,764.706万(元)",87,实验室认可|中国科学院|动物使用许可|中科检测|质量管理系统
203,中科（广东）炼化有限公司,91440800590061902J,"639,664.16万(元)",89,公用事业运营|水资源开发|天然气管道储运|危险废物的处理|石油|道路货物运输|电力交易
204,中策橡胶集团股份有限公司,9133010060912074XW,"78,703.7038万(元)",72,雅度|好运|全诺|ARISUN|中策|汽车后市场服务|威狮|轮胎|技术人员|销售
205,中联国际评估咨询有限公司,91440101673493815B,"5,000万(元)",53,技术推广|财务咨询|社会经济咨询服务|房屋拆迁服务|企业管理咨询|房地产评估|物业管理评估|软件开发|技术转让|司法鉴定服务
206,中航国际控股有限公司,91440300279351229A,"116,616.1996万(元)",53,物资供销业|经营进出口业务|中航国际控股|投资兴办实业|外商投资
